,case,complaining,artist,title,link
0,Haas v. Leo Feist,True, William Cahalin,“You Will Never Know …”,https://blogs.law.gwu.edu/mcir/files/2018/12/youwillneverknow-2l2xs00.mp3
0,Johnson v. Gordon,False,“You’re the One (For Me)”,“You’re the One (For Me)”,https://blogs.law.gwu.edu/mcir/files/2018/12/youretheone-16k4yg7.mp3
1,Boone v. Jackson,False,John Jackson “Fabolous”,“Young ‘N”,https://blogs.law.gwu.edu/mcir/files/2018/12/youngn-2m0uc7v.mp3
10,Arnstein v. Porter,False,View Video Clip,View Video Clip,https://blogs.law.gwu.edu/mcir/files/2018/12/youdbesonicetocomehometo-2j1p2lz.mp3
0,"Shapiro, Bernstein v. Miracle Record",True,Meade Lewis,“Yancey Special”,https://blogs.law.gwu.edu/mcir/files/2018/12/yanceyspecial-1hxyrmb.mp3
1,Hein v. Harris,False,Joseph E. Howard,Joseph E. Howard,https://blogs.law.gwu.edu/mcir/files/2018/12/woodpecker-22oszfm.mp3
0,Overman v. Loesser,True,Robert Overman,“Wonderful You”,https://blogs.law.gwu.edu/mcir/files/2018/12/wonderfulyou-1r7roe7.mp3
1,Hirsch v. Paramount Pictures,False,Harry Revel,Harry Revel,https://blogs.law.gwu.edu/mcir/files/2018/12/withoutawordofwarning-uy8ejo.mp3
0,Arnstein v. Broadcast Music,True,Ira Arnstein,“Whisper to Me”,https://blogs.law.gwu.edu/mcir/files/2018/12/whispertome-wagemm.mp3
0,Arnstein v. ASCAP,True,Ira Arnstein,“Whisper to Me”,https://blogs.law.gwu.edu/mcir/files/2018/12/whispertome-wagchb.mp3
0,Apollo v. Coca Cola ,True,Apollo Inc.,“When the Sun Rises”,https://blogs.law.gwu.edu/mcir/files/2018/12/When-the-Sun-Rises-2btn71q.mp3
1,Cottrill v. Spears,False,"Jorgen Elufsson, David Kreuger, Per Magnusson, Rami Yacoub",“What U See is What U Get”,https://blogs.law.gwu.edu/mcir/files/2018/12/whatyouseeelufsson-2l5om0q.mp3
0,Cottrill v. Spears,True, Michael Cottrill and Lawrence Wnukowski,“What You See is What You Get”,https://blogs.law.gwu.edu/mcir/files/2018/12/whatyouseecottrill-x9sw1w.mp3
1,[INPLAY] Martel Ellis v. Wyclef Jean,False,Wyclef Jean,“Welcome to the East”,https://blogs.law.gwu.edu/mcir/files/2018/12/WelcometotheEast-1ctzogc.mp3
0,"Marks v. Leo Feist, Inc.",True,Paul Linke,“Wedding Dance Waltzes”,https://blogs.law.gwu.edu/mcir/files/2018/12/weddingdancewaltz-244m2cu.mp3
1,Armstrong v. Virgin Records,False,Massive Attack,Massive Attack,https://blogs.law.gwu.edu/mcir/files/2018/12/unfinishedsympathy-1kxm1ep.mp3
0,Santrayll v. Burrell,True,Rene Santrayll and Michael Walker “The Legend”,“Uh Oh”,https://blogs.law.gwu.edu/mcir/files/2018/12/uhoh-2mobuyl.mp3
0,Northern Music v. King Record Distribution,True,Guy B. Wood and Sol Marcus,“Tonight He Sailed Again”,https://blogs.law.gwu.edu/mcir/files/2018/12/tonighthesailedagain-1s36ufy.mp3
0,Granite Music v. United Artists,True,Leon Pober,“Tiny Bubbles”,https://blogs.law.gwu.edu/mcir/files/2018/12/tinybubbles-2lwgon8.mp3
0,Repp v. Webber,True,Ray Repp,“Till You”,https://blogs.law.gwu.edu/mcir/files/2018/12/tillyou-vct0k1.mp3
0,Marlon Williams v. Calvin Broadus,True, Marlon Williams,“The Symphony”,https://blogs.law.gwu.edu/mcir/files/2018/12/thesymphony-2ezcvix.mp3
1,Fantasy v. Fogerty,False,“Run Through the Jungle”,“Run Through the Jungle”,https://blogs.law.gwu.edu/mcir/files/2018/12/theoldmandowntheroad-2i8t8b8.mp3
0,Jarvis v. A & M Records,True,Boyd Jarvis,“The Music’s Got Me”,https://blogs.law.gwu.edu/mcir/files/2018/12/themusicsgotme-1w10py5.mp3
1,Herald Square Music v. Living Music,False,“Day by Day”,“Day by Day”,https://blogs.law.gwu.edu/mcir/files/2018/12/themetodayshow-2ff3igj.mp3
1,Ferguson v. National Broadcasting Company,False,John Williams,John Williams,https://blogs.law.gwu.edu/mcir/files/2018/12/themeatimetolove-17timev.mp3
0,Robertson v. Batten,True,Donald Irwin Robertson,“The Happy Whistler”,https://blogs.law.gwu.edu/mcir/files/2018/12/thehappywhistler-1b0au54.mp3
1,Swirsky v. Carey,False,Mariah Carey,“Thank God I Found You”,https://blogs.law.gwu.edu/mcir/files/2018/12/thankgodifoundyou-1me3f1h.mp3
0,Tisi v. Patrick,False,“Sell Your Soul”,“Sell Your Soul”,https://blogs.law.gwu.edu/mcir/files/2018/12/takeapicture-2dnpq55.mp3
1,"Marks v. Leo Feist, Inc.",False,H. Pitman Clarke,H. Pitman Clarke,https://blogs.law.gwu.edu/mcir/files/2018/12/swaneerivermoon-1cz5l4f.mp3
1,Life Music v. Broadcast Music,False,Robert Sherman,Robert Sherman,https://blogs.law.gwu.edu/mcir/files/2018/12/supercalifragjulieandrews-1ha1xwf.mp3
0,Life Music v. Broadcast Music,True,Patricia Smith and Don Fenton,“SUPERCALAFAJALISTICKESPEEALADOJUS”,https://blogs.law.gwu.edu/mcir/files/2018/12/supercalafajsmith-r7zgu5.mp3
1,Apollo v. Coca Cola ,False,Coca Cola (China) Inc.,“Sunrise”,https://blogs.law.gwu.edu/mcir/files/2018/12/Sunrise-22z9bmu.mp3
0,BMS Entertainment v. Bridges,True," Ramid Brown, et al.",“Straight Like That”,https://blogs.law.gwu.edu/mcir/files/2018/12/straightlikethat-2986kkh.mp3
0,Gotham Music v. Denton Music Publishing,True,Gotham Music Publishing,“St. James’ Infirmary”,https://blogs.law.gwu.edu/mcir/files/2018/12/stjames-25djyj4.mp3
1,"Steele v. Bongiovi, et al.",False, Jon Bongiovi[Bon Jovi],“I Love This Town”,https://blogs.law.gwu.edu/mcir/files/2018/12/steele_town-1ze5ayv.mp3
0,"Steele v. Bongiovi, et al.",True,Samuel Steele,“Man I Really Love This Team”,https://blogs.law.gwu.edu/mcir/files/2018/12/steele_team-1ufyj5u.mp3
1,Wilkie v. Santly Brothers,False,Bernice Petkere,Bernice Petkere,https://blogs.law.gwu.edu/mcir/files/2018/12/starlight-tz6bi4.mp3
1,BMS Entertainment v. Bridges,False,Christopher Bridges,“Stand Up”,https://blogs.law.gwu.edu/mcir/files/2018/12/standup-12ygk3v.mp3
1,Allen v. Walt Disney,False,Frank Churchill,Frank Churchill,https://blogs.law.gwu.edu/mcir/files/2018/12/somedaymyprincewillcome-v8s85c.mp3
0,Bridgeport Music v. Combs,True, Ohio Players,“Singing in the Morning”,https://blogs.law.gwu.edu/mcir/files/2018/12/singinginthemorn-276br1t.mp3
1,Nordstrom v. R.C.A.,False,Jerry Herman,Jerry Herman,https://blogs.law.gwu.edu/mcir/files/2018/12/shalomherman-1mi2ox2.mp3
1,"[INPLAY] Joe Satriani v. Christopher Martin, et al. [Coldplay]",False,Christopher Martin et al. [Coldplay],“Viva la Vida”,https://blogs.law.gwu.edu/mcir/files/2018/12/satriani_viva-2a493s5.mp3
0,"[INPLAY] Joe Satriani v. Christopher Martin, et al. [Coldplay]",True,Joe Satriani,“If I Could Fly”,https://blogs.law.gwu.edu/mcir/files/2018/12/satriani_fly-21ehlgn.mp3
1,Robertson v. Batten,False,"Song Ads, Inc.","Song Ads, Inc.",https://blogs.law.gwu.edu/mcir/files/2018/12/sanfranciscobrewingad-27f3pxl.mp3
1,McDonald v. Multimedia Entertainment,False,Dan Radlauer,Theme Music for “Sally Jesse Raphael Show”,https://blogs.law.gwu.edu/mcir/files/2018/12/sallyjesseradlauer-1pw1rtn.mp3
0,McDonald v. Multimedia Entertainment,True,Gerard McDonald,Proposed Theme Music for “Sally Jesse Raphael Show”,https://blogs.law.gwu.edu/mcir/files/2018/12/sallyjessemcdonald-yau6yw.mp3
0,Reed v. Carusi,True,Henry Russell,“The Old Arm Chair”,https://blogs.law.gwu.edu/mcir/files/2018/12/russelloldarmchair-12ynysn.mp3
0,Fantasy v. Fogerty,True,John C. Fogerty,“Run Through the Jungle”,https://blogs.law.gwu.edu/mcir/files/2018/12/runthroughthejungle-2j69coy.mp3
0,Dorchester Music v. National Broadcasting Company,True,Fred Spielman,“Rendezvous”,https://blogs.law.gwu.edu/mcir/files/2018/12/rendezvous-2di6n5q.mp3
